Individual	Time	Chlorophyll	logChl	Weight
1	0	199.02	2.298896722	0.0457
1	10	192.1	2.283527365	0.0457
1	20	178.29	2.251126985	0.0457
2	0	209.59	2.321370558	0.1131
2	10	188.89	2.276208967	0.1131
2	20	176.42	2.246547818	0.1131
2	30	172.28	2.236234863	0.1131
3	0	166.29	2.220866133	0.1238
3	10	164.44	2.216007468	0.1238
3	20	160.34	2.205041879	0.1238
3	30	156.89	2.195595263	0.1238
3	40	155.55	2.191870015	0.1238
3	50	155.08	2.190555792	0.1238
3	60	153.67	2.186589091	0.1238
4	0	285.1	2.454997217	0.2157
4	10	263.56	2.420879499	0.2157
4	20	255.63	2.40761182	0.2157
4	30	253.19	2.403446549	0.2157
4	40	250.56	2.39891174	0.2157
4	50	245.34	2.389768361	0.2157
4	60	242.12	2.384030665	0.2157
5	0	76.31	1.882581454	0.6543
5	10	62.07	1.792881745	0.6543
5	20	44.96	1.652826303	0.6543
5	30	36.39	1.560982056	0.6543
5	40	34.25	1.534660576	0.6543
5	50	29.97	1.476686743	0.6543
5	60	25.69	1.409764104	0.6543
6	0	64.22	1.807670301	0.664
6	10	43.88	1.642266619	0.664
6	20	37.47	1.573683693	0.664
6	30	29.97	1.476686743	0.664
6	40	25.69	1.409764104	0.664
6	50	25.69	1.409764104	0.664
6	60	22.48	1.351796307	0.664
7	0	235.37	2.371751107	1.1888
7	10	149.69	2.175192788	1.1888
7	20	99.97	1.999869692	1.1888
7	30	83.96	1.92407243	1.1888
7	40	74.16	1.870169721	1.1888
7	50	57.12	1.756788199	1.1888
7	60	55.45	1.74390155	1.1888
8	0	189.32	2.277196496	1.3198
8	10	137.75	2.139091608	1.3198
8	20	122.67	2.088738365	1.3198
8	30	120.23	2.080012847	1.3198
8	40	112.84	2.052463077	1.3198
8	50	98.13	1.991801799	1.3198
8	60	88.89	1.948852906	1.3198
9	0	211.88	2.326089964	2.2894
9	10	189.32	2.277196496	2.2894
9	20	159.4	2.202488317	2.2894
9	30	157.55	2.197418408	2.2894
9	40	153.85	2.187097501	2.2894
9	50	139.57	2.144792078	2.2894
9	60	130.36	2.115144352	2.2894
10	0	235.37	2.371751107	2.3214
10	10	223.44	2.349160923	2.3214
10	20	210.97	2.324220703	2.3214
10	30	203.63	2.308841761	2.3214
10	40	195.75	2.291701771	2.3214
10	50	178.29	2.251126985	2.3214