Individual	Time	Chlorophyll	log_Chl
1	0	56.73	1.753812784
1	10	51.37	1.710709566
1	20	44.96	1.652826303
1	30	39.6	1.597695186
1	40	35.52	1.550472957
1	50	29.97	1.476686743
1	60	24.62	1.391288049
2	0	67.43	1.82885316
2	10	66.36	1.821906377
2	20	53.52	1.728516105
2	30	33.18	1.520876382
2	40	16.05	1.205475037
2	50	11.3	1.053078443
2	60	8.29	0.9185545306
3	0	73.85	1.8683505
3	10	71.71	1.855579723
3	20	65.29	1.814846669
3	30	53.52	1.728516105
3	40	49.23	1.692229836
3	50	43.88	1.642266619
3	60	31.04	1.491921713
4	0	76.31	1.882581454
4	10	62.07	1.792881745
4	20	44.96	1.652826303
4	30	36.39	1.560982056
4	40	34.25	1.534660576
4	50	29.97	1.476686743
4	60	25.69	1.409764104
5	0	69.57	1.842422003
5	10	59.95	1.777789187
5	20	49.23	1.692229836
5	30	44.96	1.652826303
5	40	49.23	1.692229836
5	50	41.74	1.620552445
5	60	38.53	1.585799009
6	0	72.78	1.862012051
6	10	55.65	1.745465169
6	20	50.3	1.701567985
6	30	48.16	1.682686478
6	40	47.1	1.673020907
6	50	43.88	1.642266619
6	60	41.74	1.620552445
7	0	64.22	1.807670301
7	10	43.88	1.642266619
7	20	37.47	1.573683693
7	30	29.97	1.476686743
7	40	25.69	1.409764104
7	50	25.69	1.409764104
7	60	22.48	1.351796307
8	0	72.78	1.862012051
8	10	55.65	1.745465169
8	20	52.44	1.719662683
8	30	49.23	1.692229836
8	40	47.1	1.673020907
8	50	46.02	1.662946614
8	60	46.02	1.662946614
9	0	49.23	1.692229836
9	10	41.74	1.620552445
9	20	31.04	1.491921713
9	30	22.48	1.351796307
9	40	22.48	1.351796307
9	50	16.05	1.205475037
9	60	14.99	1.175801633
10	0	81.33	1.910250772
10	10	53.52	1.728516105
10	20	55.65	1.745465169
10	30	52.44	1.719662683
10	40	50.3	1.701567985
10	50	49.23	1.692229836
10	60	49.23	1.692229836